Cocktail_Name,Liquor,Garnish,Glassware,Original_Source,Ingredient_1,Measurement_1,Ingredient_2,Measurement_2,Ingredient_3,Measurement_3,Ingredient_4,Measurement_4,Ingredient_5,Measurement_5,Ingredient_6,Measurement_6,Ingredient_7,Measurement_7,Ingredient_8,Measurement_8,Ingredient_9,Measurement_9,Ingredient_10,Measurement_10,Ingredient_11,Measurement_11,Ingredient_12,Measurement_12,Ingredient_13,Measurement_13,Instruction_1,Instruction_2,Instruction_3,Instruction_4,Instruction_5,Instruction_6,Instruction_7,Instruction_8,Instruction_9,Instruction_10,Instruction_11,Instruction_12,Instruction_13,Instruction_14,Instruction_15,Instruction_16,Instruction_17,Instruction_18,Instruction_19,Instruction_20,Instruction_21,Instruction_22,Instruction_23
Herbal flame,N/A,N/A,Mason Jar,N/A,Hot Damn,5 shots ,Tea,very sweet ,,,,,,,,,,,,,,,,,,,,,,,1: Pour Hot Damn 100 in bottom of a jar or regular glass.,2: Fill the rest of the glass with sweet tea.,"3: Stir with spoon, straw, or better yet a cinnamon stick and leave it in.",,,,,,,,,,,,,,,,,,,,
Horse's Neck,Brandy,N/A,Highball Glass,N/A,Lemon peel,1 long strip ,Brandy,2 oz ,Ginger ale,5 oz ,Bitters,2 dashes ,,,,,,,,,,,,,,,,,,,1: Pour brandy and ginger ale directly into highball glass with ice cubes.,2: Stir gently.,3: Garnish with lemon zest.,"4: If desired, add dashes of Angostura Bitter.",,,,,,,,,,,,,,,,,,,
Happy Skipper,Rum,N/A,Highball Glass,N/A,Spiced rum,1.5 cl ,Ginger ale,,Lime,,Ice,,,,,,,,,,,,,,,,,,,,"1: Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale.",2: Garnish with lime.,3: Tastes like a cream soda.,,,,,,,,,,,,,,,,,,,,
Hunter's Moon,Vermouth,N/A,Balloon Glass,N/A,Vermouth,25 ml,Maraschino Cherry,15 ml,Sugar Syrup,10 ml,Lemonade,100 ml,Blackberries,2,,,,,,,,,,,,,,,,,"1: Put the Bombay Sapphire, Martini Bianco, sugar syrup & blackberries in a cocktail shaker with lots of ice and shake vigorously before pouring into a balloon glass, topping up with lemonade and garnishing with a wedge of orange.",,,,,,,,,,,,,,,,,,,,,,
Halloween Punch,Vodka,N/A,Punch Bowl,N/A,Cherry Juice,1 bottle,Orange Peel,3,Red Chili Flakes,1,Cloves,10,Ginger,6,Vodka,20 cl,,,,,,,,,,,,,,,"1: Tip the cherry juice, orange peel, chilli, cinnamon sticks, cloves and ginger into a large saucepan.","2: Simmer for 5 mins, then turn off the heat.","3: Leave to cool, then chill for at least 4 hrs, or up to 2 days – the longer you leave it the more intense the flavours.","4: If serving to young children, take the chilli out after a few hours.","5: When you’re ready to serve, pour the juice into a jug.",6: Serve in glass bottles or glasses and pop a straw in each.,"7: If you're adding vodka, do so at this stage.",8: Dangle a fangs sweet from each glass.,,,,,,,,,,,,,,,
Havana Cocktail,Rum,N/A,Cocktail Glass,N/A,Light rum,1 oz ,Pineapple juice,1 oz ,Lemon juice,1 tsp ,,,,,,,,,,,,,,,,,,,,,"1: In a shaker half-filled with ice cubes, combine all of the ingredients.",2: Shake well.,3: Strain into a cocktail glass.,,,,,,,,,,,,,,,,,,,,
Homemade Kahlua,Vodka,N/A,Collins Glass,N/A,Sugar,2.5 cups ,Corn syrup,1 cup ,Coffee,1.5 oz instant ,Vanilla extract,2 oz ,Water,3 cups boiling ,Vodka,1 fifth ,,,,,,,,,,,,,,,1: Dissolve sugar in 2 cups of boiling water and add corn syrup.,2: Dissolve the instant coffee in the remaining water.,3: Pour syrup and coffee in a gallon jug.,4: Let it cool.,5: Add vodka and vanilla when cold.,"6: For the best result, let the mixture ""mature"" for 4-5 weeks.",,,,,,,,,,,,,,,,,
Hot Creamy Bush,Whiskey,N/A,Irish Coffee Cup,N/A,Irish whiskey,1 shot ,Baileys irish cream,0.75 shot ,Coffee,6 oz hot ,,,,,,,,,,,,,,,,,,,,,1: Combine all ingredients in glass.,,,,,,,,,,,,,,,,,,,,,,
Harvey Wallbanger,Vodka,N/A,Collins Glass,N/A,Vodka,1 oz ,Galliano,0.5 oz ,Orange juice,4 oz ,,,,,,,,,,,,,,,,,,,,,"1: Stir the vodka and orange juice with ice in the glass, then float the Galliano on top.",2: Garnish and serve.,,,,,,,,,,,,,,,,,,,,,
Hawaiian Cocktail,Gin,N/A,Cocktail Glass,N/A,Gin,2 oz ,Triple sec,0.5 oz ,Pineapple juice,1 tblsp ,,,,,,,,,,,,,,,,,,,,,"1: Shake all ingredients with ice, strain into a cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
Hemingway Special,Rum,N/A,Cocktail Glass,N/A,Rum,12 parts,Grapefruit Juice,8 parts,Maraschino Liqueur,3 parts,Lime Juice,3 parts,,,,,,,,,,,,,,,,,,,1: Pour all ingredients into a shaker with ice.,2: Shake.,,,,,,,,,,,,,,,,,,,,,
Highland Fling Cocktail,Scotch,N/A,Cocktail Glass,N/A,Scotch,1.5 oz ,Sweet Vermouth,0.75 oz ,Orange bitters,2 dashes ,Olive,1 ,,,,,,,,,,,,,,,,,,,1: Stir all ingredients (except olive) with ice and strain into a cocktail glass.,2: Add the olive and serve.,,,,,,,,,,,,,,,,,,,,,
Ice Pick,Vodka,N/A,Collins Glass,N/A,Vodka,1.5 oz ,Iced tea,6 oz ,Lemon juice," to taste
",,,,,,,,,,,,,,,,,,,,,1: Put Vodka in glass fill with iced tea.,2: Stir in lemon to taste.,,,,,,,,,,,,,,,,,,,,,
Irish Cream,Scotch,N/A,Irish Coffee Cup,N/A,Scotch,1 cup ,Half-and-half,1.25 cup ,Condensed milk,1 can sweetened ,Coconut syrup,3 drops ,Chocolate syrup,1 tblsp ,,,,,,,,,,,,,,,,,1: Mix scotch and milk.,2: Add half-and-half.,3: Add rest.,,,,,,,,,,,,,,,,,,,,
Irish Coffee,Whiskey,N/A,Irish Coffee Cup,N/A,Irish whiskey,1.5 oz ,Coffee,8 oz ,Sugar,1 tsp ,Whipped cream,1 tblsp ,,,,,,,,,,,,,,,,,,,"1: Heat the coffee, whiskey and sugar; do not boil.",2: Pour into glass and top with cream; serve hot.,,,,,,,,,,,,,,,,,,,,,
Irish Spring,Whiskey,N/A,Collins Glass,N/A,Irish whiskey,1 oz ,Peach brandy,0.5 oz ,Orange juice,1 oz ,Sweet and sour,1 oz ,Orange,1 slice ,Cherry,1 ,,,,,,,,,,,,,,,1: Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes.,"2: Garnish with the slice of orange, add the cherry on top, and serve.",,,,,,,,,,,,,,,,,,,,,
Imperial Fizz,Rum,N/A,Highball Glass,N/A,Light rum,0.5 oz ,Blended whiskey,1.5 oz ,Lemon,Juice of 0.5 ,Powdered sugar,1 tsp ,Carbonated water,,,,,,,,,,,,,,,,,,1: Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes.,"2: Fill with carbonated water, stir, and serve.",,,,,,,,,,,,,,,,,,,,,
Irish Russian,Vodka,N/A,Highball Glass,N/A,Vodka,1 shot ,Kahlua,1 shot ,Coca-Cola,1 dash ,Guinness stout,Fill with ,,,,,,,,,,,,,,,,,,,1: Add the ingredients in the order listed in the recipe.,2: Care must be taken when adding the Guinness to prevent an excess of foam.,3: Do Not add ice.,,,,,,,,,,,,,,,,,,,,
Imperial Cocktail,Gin,N/A,Cocktail Glass,N/A,Lime juice,4 cl ,Gin,2 cl ,Aperol,4 cl ,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Iced Coffee Fillip,N/A,N/A,Coffee Mug,N/A,Kahlua,2 tsp ,Coffee,Strong cold ,,,,,,,,,,,,,,,,,,,,,,,1: Mix together in a coffee mug and chill before serving.,,,,,,,,,,,,,,,,,,,,,,
Irish Curdling Cow,Bourbon,N/A,Highball Glass,N/A,Baileys irish cream,0.75 oz ,Bourbon,0.75 oz ,Vodka,0.75 oz ,Orange juice,2-3 oz ,,,,,,,,,,,,,,,,,,,"1: Pour Irish Cream, Vodka, and Bourbon in a glass.",2: Add some ice and mix in the orange juice.,,,,,,,,,,,,,,,,,,,,,
Jam Donut,Liqueur,N/A,Shot Glass,N/A,Baileys irish cream,0.67 oz,Chambord raspberry liqueur,0.33 oz,Sugar syrup,1 tsp,Sugar,2 pinches,,,,,,,,,,,,,,,,,,,1: Coat the rim of a shot glass with sugar using sugar syrup to stick.,"2: Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top.",3: Serve.,,,,,,,,,,,,,,,,,,,,
Jitterbug,Gin,N/A,Cocktail Glass,N/A,Gin,2 jiggers ,Vodka,1 jigger ,Grenadine,3 dashes ,Lime juice,1 shot ,Sugar,Around rim put 1 pinch ,Sugar syrup,3 dashes ,Soda water,Fill to top with ,,,,,,,,,,,,,"1: Wet glass, dip rim in sugar.",2: Then add Ice.,3: Then add everything else.,,,,,,,,,,,,,,,,,,,,
Jackhammer,Jack Daniels,N/A,Collins Glass,N/A,Jack Daniels,1 oz ,Amaretto,1 oz ,,,,,,,,,,,,,,,,,,,,,,,"1: Serve over ice- Warning,Deadly!.",,,,,,,,,,,,,,,,,,,,,,
Jelly Bean,Brandy,N/A,Cordial Glass,N/A,Blackberry brandy,1 oz ,Anis,1 oz ,,,,,,,,,,,,,,,,,,,,,,,1: mix equal parts in pony glass-tastes just like a jelly bean!.,,,,,,,,,,,,,,,,,,,,,,
Jello shots,Vodka,N/A,Shot Glass,N/A,Vodka,2 cups ,Jello,3 packages ,Water,3 cups ,,,,,,,,,,,,,,,,,,,,,1: Boil 3 cups of water then add jello.,2: Mix jello and water until jello is completely disolved.,3: Add the two cups of vodka and mix together.,4: Pour mixture into plastic shot glasses and chill until firm.,"5: Then, eat away.",,,,,,,,,,,,,,,,,,
Jamaica Kiss,Liqueur,N/A,Hurricane Glass,N/A,Coffee liqueur,1 shot ,Light rum,1 shot Jamaican ,Ice,cubes,Milk,,,,,,,,,,,,,,,,,,,,1: Fill a tumbler with ice cubes.,2: Add a shot of Tia Maria and a shot of Jamaican light rum.,3: Fill the tumbler with milk.,4: Blend until smooth and serve immediately.,,,,,,,,,,,,,,,,,,,
John Collins,Bourbon,N/A,Collins Glass,N/A,Bourbon,2 oz ,Lemon juice,1 oz ,Sugar,1 tsp superfine ,Club soda,3 oz ,Maraschino cherry,1 ,Orange,1 ,,,,,,,,,,,,,,,1: Pour all ingredients directly into highball glass filled with ice.,2: Stir gently.,3: Garnish.,4: Add a dash of Angostura bitters.,,,,,,,,,,,,,,,,,,,
Japanese Fizz,Whiskey,N/A,Highball Glass,N/A,Blended whiskey,1.5 oz ,Lemon,Juice of 0.5 ,Powdered sugar,1 tsp ,Port,1 tblsp,Egg white,1 ,Carbonated water,,,,,,,,,,,,,,,,1: Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes.,"2: Fill with carbonated water, stir, and serve.",,,,,,,,,,,,,,,,,,,,,
Jamaican Coffee,Rum,N/A,Champagne Flute,N/A,Rum,1/6 glass ,Coffee,1/6 glass strong black ,Water,0.5 glass cold ,Whipped cream,,,,,,,,,,,,,,,,,,,,"1: Stir the rum, coffee and water together.",2: Top with the whipped cream.,3: Sprinkle with a pinch of well ground coffee and drink with a straw.,,,,,,,,,,,,,,,,,,,,
Jewel Of The Nile,Gin,N/A,Cocktail Glass,N/A,Gin,1.5 oz ,Green Chartreuse,0.5 oz ,Yellow Chartreuse,0.5 oz ,,,,,,,,,,,,,,,,,,,,,"1: In a mixing glass half-filled with ice cubes, combine all of the ingredients.",2: Stir well.,3: Strain into a cocktail glass.,,,,,,,,,,,,,,,,,,,,
Jack Rose Cocktail,Brandy,N/A,Cocktail Glass,N/A,Apple brandy,1.5 oz ,Grenadine,1 tsp ,Lime,Juice of 0.5 ,,,,,,,,,,,,,,,,,,,,,"1: Shake all ingredients with ice, strain into a cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
Jack's Vanilla Coke,Whiskey,N/A,Old-Fashioned Glass,N/A,Ice,4-5 ,Tennessee whiskey,2 oz ,Vanilla extract,1 tsp ,Coca-Cola,10-12 oz ,,,,,,,,,,,,,,,,,,,"1: After pouring in your ingredients, and adding 3-5 ice cubes, according to taste.",2: Stir the drink with a stirrer to get the Vanilla off the bottom.,,,,,,,,,,,,,,,,,,,,,
Kir,Champagne,N/A,Wine Glass,N/A,Creme de Cassis,1 part ,Champagne,5 parts ,,,,,,,,,,,,,,,,,,,,,,,"1: Add the crème de cassis to the bottom of the glass, then top up with wine.",,,,,,,,,,,,,,,,,,,,,,
Karsk,N/A,N/A,Highball Glass,N/A,Coffee,1 part ,Grain alcohol,2 parts ,,,,,,,,,,,,,,,,,,,,,,,"1: Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin.",2: Norwegian speciality.,,,,,,,,,,,,,,,,,,,,,
Kamikaze,Vodka,N/A,Cocktail Glass,N/A,Vodka,1 oz ,Triple sec,1 oz ,Lime juice,1 oz ,,,,,,,,,,,,,,,,,,,,,1: Shake all ingredients together with ice.,"2: Strain into glass, garnish and serve.",,,,,,,,,,,,,,,,,,,,,
Kir Royale,Champagne,N/A,Champagne Flute,N/A,Creme de Cassis,1 part ,Champagne,5 parts ,,,,,,,,,,,,,,,,,,,,,,,"1: Pour Creme de cassis in glass, gently pour champagne on top.",,,,,,,,,,,,,,,,,,,,,,
Kiwi Lemon,Liqueur,N/A,Highball Glass,N/A,Kiwi liqueur,1 part ,Bitter lemon,2 parts ,Ice,cubes,,,,,,,,,,,,,,,,,,,,,1: Mix in highball glass.,2: Stirr.,3: Garnish with slice of kiwi.,,,,,,,,,,,,,,,,,,,,
Kurant Tea,N/A,N/A,Champagne Flute,N/A,Absolut Kurant,4 cl ,Tea,Turkish apple ,Sugar," (if needed)
",,,,,,,,,,,,,,,,,,,,,1: Pour Absolut Kurant into a comfortably big tea-cup.,"2: Add the not too hot(!) apple tea and, if you like, some sugar.",,,,,,,,,,,,,,,,,,,,,
Kioki Coffee,Brandy,N/A,Coffee Mug,N/A,Kahlua,1 oz ,Brandy,0.5 oz ,Coffee,,,,,,,,,,,,,,,,,,,,,,1: Stir.,2: Add whipped cream to the top.,,,,,,,,,,,,,,,,,,,,,
Kiwi Martini,Vodka,N/A,Cocktail Glass,N/A,Kiwi,0.5,Sugar Syrup,1 tsp,Vodka,1.5 oz,Kiwi,Garnish with,,,,,,,,,,,,,,,,,,,1: The kiwi martini is a very fun vodka cocktail and it is one of the best drinks that makes use of fresh fruit.,"2: Though there are a few recipes floating around, this is one of the easiest and it is an absolutely delightful green martini to drink.","3: For this recipe, you'll simply muddle slices of kiwi with simple syrup, then shake it with vodka.",4: It's a drink that anyone can mix up in minutes and a perfect cocktail to show off your favorite vodka.,,,,,,,,,,,,,,,,,,,
Kiss me Quick,Vodka,N/A,Highball Glass,N/A,Cranberry vodka,4 cl ,Apfelkorn,2 cl ,Schweppes Russchian,7 cl ,Apple juice,8 cl ,Ice,cubes,,,,,,,,,,,,,,,,,1: mix in the glass.,,,,,,,,,,,,,,,,,,,,,,
Kool-Aid Shot,Vodka,N/A,Old-Fashioned Glass,N/A,Vodka,1 shot ,Amaretto,1 shot ,Sloe gin,1 shot ,Triple sec,1 shot ,Cranberry juice,,,,,,,,,,,,,,,,,,1: Pour into a large glass with ice and stir.,2: Add a little cranberry juice to taste.,,,,,,,,,,,,,,,,,,,,,
Kool First Aid,Rum,N/A,Shot Glass,N/A,151 proof rum,2 oz light ,Kool-Aid,0.5 tsp Tropical ,,,,,,,,,,,,,,,,,,,,,,,"1: Add Kool Aid to a double shot glass, and top with rum.",2: Slam and shoot.,,,,,,,,,,,,,,,,,,,,,
Kentucky B And B,Bourbon,N/A,Brandy Snifter,N/A,Bourbon,2 oz ,Benedictine,0.5 oz ,,,,,,,,,,,,,,,,,,,,,,,1: Pour the bourbon and Benedictine into a brandy snifter.,,,,,,,,,,,,,,,,,,,,,,
Kentucky Colonel,Bourbon,N/A,Cocktail Glass,N/A,Bourbon,3 oz ,Benedictine,0.5 oz ,Lemon peel,1 twist of ,,,,,,,,,,,,,,,,,,,,,1: In a shaker half-filled with ice cubes combine the courbon and Benedictine.,2: Shake and strain into a cocktail glass.,3: Garnish with the lemon twist.,,,,,,,,,,,,,,,,,,,,
Kool-Aid Slammer,Vodka,N/A,Shot Glass,N/A,Kool-Aid,0.5 oz Grape ,Vodka,0.5 oz ,,,,,,,,,,,,,,,,,,,,,,,1: Fill half the shot glass with the kool-aid first.,2: Then put a paper towel over the top of the glass and slowly pour in the vodka.,"3: If you do it right, you should be able to see that the two liquids are separated, with the vodka on top.",4: Now slam it! The last thing you'll taste is the kool-aid.,,,,,,,,,,,,,,,,,,,
Lunch Box,Beer,N/A,Pint Glass,N/A,Beer,0.75 bottle ,Amaretto,1 shot ,Orange juice,1 oz ,,,,,,,,,,,,,,,,,,,,,1: Fill a pint glass almost full with beer.,2: Then fill the rest with orange juice (careful not to fill it to the top).,3: Then take the shot of Amaretto and drop it in.,,,,,,,,,,,,,,,,,,,,
Lemon Drop,Vodka,N/A,Cocktail Glass,N/A,Vodka,1.5 shot ,Cointreau,1.5 shot ,Lemon,Juice of 1 wedge ,,,,,,,,,,,,,,,,,,,,,1: Shake and strain into a chilled cocktail glass rimmed with sugar.,,,,,,,,,,,,,,,,,,,,,,
Lemon Shot,Rum,N/A,Shot Glass,N/A,Galliano,0.5 oz ,Absolut Citron,0.5 oz ,Lemon," wedge
",Sugar,Bacardi ,151 proof rum,,,,,,,,,,,,,,,,,,"1: Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass.",2: light rum with a lighter and let burn for a second.,3: Do shot quickly and suck on lemon.,"4: If it is done correctly, this will taste like a shot of sweet lemonade.",,,,,,,,,,,,,,,,,,,
Long vodka,Vodka,N/A,Highball Glass,N/A,Vodka,5 cl ,Lime,0.5 ,Angostura bitters,4 dashes ,Tonic water,1 dl Schweppes ,Ice,4 ,,,,,,,,,,,,,,,,,"1: Shake a tall glass with ice cubes and Angostura, coating the inside of the glass.",,,,,,,,,,,,,,,,,,,,,,
Loch Lomond,Scotch,N/A,Cocktail Glass,N/A,Scotch,2 oz ,Drambuie,0.5 oz ,Dry Vermouth,0.5 oz ,Lemon peel,1 twist of ,,,,,,,,,,,,,,,,,,,"1: In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth.",2: Stir well.,3: Strain into a cocktail glass.,4: Garnish with the lemon twist.,,,,,,,,,,,,,,,,,,,
London Town,Gin,N/A,Cocktail Glass,N/A,Gin,1.5 oz ,Maraschino liqueur,0.5 oz ,Orange bitters,2 dashes ,,,,,,,,,,,,,,,,,,,,,"1: In a mixing glass half-filled with ice cubes, combine all of the ingredients.",2: Stir well.,3: Strain into a cocktail glass.,,,,,,,,,,,,,,,,,,,,
Limona Corona,N/A,N/A,Beer Glass,N/A,Corona,1 bottle ,Bacardi Limon,1 oz ,,,,,,,,,,,,,,,,,,,,,,,1: Open the Corona.,2: Fill the empty space in the neck in the bottle with the rum.,3: The bottle should be filled to the top.,4: Plug the bottle with your thumb or the palm of your hand.,5: Turn the bottle upside-down so the rum and beer mix.,"6: Turn the bottle rightside-up, unplug, and drink.",,,,,,,,,,,,,,,,,
Lord And Lady,Rum,N/A,Old-Fashioned Glass,N/A,Dark rum,1.5 oz ,Tia maria,0.5 oz ,,,,,,,,,,,,,,,,,,,,,,,1: Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes.,2: Stir well.,,,,,,,,,,,,,,,,,,,,,
Lady Love Fizz,Gin,N/A,Cocktail Glass,N/A,Gin,2 oz ,Light cream,2 tsp ,Powdered sugar,1 tsp ,Lemon,Juice of 0.5,Egg white,1 ,Carbonated water,,,,,,,,,,,,,,,,1: Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes.,"2: Fill with carbonated water, stir, and serve.",,,,,,,,,,,,,,,,,,,,,
Long Island Tea,Vodka,N/A,Highball Glass,N/A,Vodka,0.5 oz ,Light rum,0.5 oz ,Gin,0.5 oz ,Tequila,0.5 oz ,Lemon,Juice of 0.5 ,Coca-Cola,1 splash ,,,,,,,,,,,,,,,1: Combine all ingredients (except cola) and pour over ice in a highball glass.,2: Add the splash of cola for color.,3: Decorate with a slice of lemon and serve.,,,,,,,,,,,,,,,,,,,,
Lone Tree Cooler,Gin,N/A,Collins Glass,N/A,Carbonated water,,Gin,,Dry Vermouth,,Powdered sugar,,Orange spiral,,Lemon peel,,,,,,,,,,,,,,,,1: Stir powdered sugar and 2 oz.,2: carbonated water in a collins glass.,"3: Fill glass with ice, add gin and vermouth, and stir.",4: Fill with carbonated water and stir again.,5: Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass.,,,,,,,,,,,,,,,,,,
Lone Tree Cocktail,Vermouth,N/A,Cocktail Glass,N/A,Sweet Vermouth,0.75 oz ,Gin,1.5 oz ,,,,,,,,,,,,,,,,,,,,,,,"1: Stir ingredients with ice, strain into a cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
Lazy Coconut Paloma,Liqueur,N/A,Highball Glass,N/A,Coconut Liqueur,30 ml,Grapefruit Juice,75 ml,Soda Water,Top,,,,,,,,,,,,,,,,,,,,,1: Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water.,2: Garnish with a large grapefruit slice against the inside of the glass.,,,,,,,,,,,,,,,,,,,,,
Long Island Iced Tea,Vodka,N/A,Highball Glass,N/A,Vodka,0.5 oz ,Tequila,0.5 oz ,Light rum,0.5 oz ,Gin,0.5 oz ,Coca-Cola,1 dash ,Lemon peel,Twist of ,,,,,,,,,,,,,,,1: Mix all contents in a highball glass and sitr gently.,2: Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,,,,,,,,,,,,,,,,,,,,,
Lemon Elderflower Spritzer,Vodka,N/A,Highball Glass,N/A,Elderflower cordial,2 tsp,Vodka,1 shot,Soda Water,0.33 cup,Fresh Lemon Juice,Top,,,,,,,,,,,,,,,,,,,"1: Pour all ingredients over ice, stir and enjoy!.",,,,,,,,,,,,,,,,,,,,,,
Mojito,Rum,N/A,Highball Glass,N/A,Light rum,2-3 oz ,Lime,Juice of 1 ,Sugar,2 tsp ,Mint,2-4 ,Soda water,,,,,,,,,,,,,,,,,,1: Muddle mint leaves with sugar and lime juice.,2: Add a splash of soda water and fill the glass with cracked ice.,3: Pour the rum and top with soda water.,4: Garnish and serve with straw.,,,,,,,,,,,,,,,,,,,
Mimosa,Champagne,N/A,Champagne Flute,N/A,Champagne,Chilled ,Orange juice,2 oz ,,,,,,,,,,,,,,,,,,,,,,,"1: Ensure both ingredients are well chilled, then mix into the glass.",2: Serve cold.,,,,,,,,,,,,,,,,,,,,,
Mai Tai,Rum,N/A,Collins Glass,N/A,Light rum,1 oz ,Orgeat syrup,0.5 oz ,Triple sec,0.5 oz ,Sweet and sour,1.5 oz ,Cherry,1 ,,,,,,,,,,,,,,,,,1: Shake all ingredients with ice.,2: Strain into glass.,3: Garnish and serve with straw.,,,,,,,,,,,,,,,,,,,,
Martini,Gin,N/A,Cocktail Glass,N/A,Gin,1.67 oz ,Dry Vermouth,0.33 oz ,Olive,1 ,,,,,,,,,,,,,,,,,,,,,1: Straight: Pour all ingredients into mixing glass with ice cubes.,2: Stir well.,3: Strain in chilled martini cocktail glass.,"4: Squeeze oil from lemon peel onto the drink, or garnish with olive.",,,,,,,,,,,,,,,,,,,
Michelada,Beer,N/A,Pint Glass,N/A,Beer,4 oz,Tomato Juice,4 oz,Lime Juice,1 tblsp,Hot Sauce,Dash,Worcestershire Sauce,Dash,Soy Sauce,Dash,,,,,,,,,,,,,,,"1: Mix the beer with tomato juice, freshly squeezed lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce.",,,,,,,,,,,,,,,,,,,,,,
Manhattan,Vermouth,N/A,Cocktail Glass,N/A,Sweet Vermouth,0.75 oz ,Bourbon,2.5 oz Blended ,Angostura bitters,dash ,Ice,2 or 3 ,Maraschino cherry,1 ,Orange peel,1 twist of ,,,,,,,,,,,,,,,"1: Stirred over ice, strained into a chilled glass, garnished, and served up.",,,,,,,,,,,,,,,,,,,,,,
Margarita,Tequila,N/A,Cocktail Glass,N/A,Tequila,1.5 oz ,Triple sec,0.5 oz ,Lime juice,1 oz ,Salt,,,,,,,,,,,,,,,,,,,,1: Rub the rim of the glass with the lime slice to make the salt stick to it.,2: Take care to moisten only the outer rim and sprinkle the salt on it.,3: The salt should present to the lips of the imbiber and never mix into the cocktail.,"4: Shake the other ingredients with ice, then carefully pour into the glass.",,,,,,,,,,,,,,,,,,,
Mint Julep,Bourbon,N/A,Collins Glass,N/A,Mint,4 fresh ,Bourbon,2.5 oz ,Powdered sugar,1 tsp ,Water,2 tsp ,,,,,,,,,,,,,,,,,,,"1: In a highball glass gently muddle the mint, sugar and water.","2: Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted.",3: Garnish with a mint sprig.,,,,,,,,,,,,,,,,,,,,
Mudslinger,N/A,N/A,Punch Bowl,N/A,Southern Comfort,750 ml ,Orange juice,1 L ,Pepsi Cola,750 ml ,,,,,,,,,,,,,,,,,,,,,1: Add all contents to a large jug or punch bowl.,,,,,,,,,,,,,,,,,,,,,,
Martinez 2,Gin,N/A,Cocktail Glass,N/A,Gin,1.5 oz,Sweet Vermouth,1.5 oz,Maraschino Liqueur,1 tsp,Angostura Bitters,2 dashes,,,,,,,,,,,,,,,,,,,1: Add all ingredients to a mixing glass and fill with ice.,"2: Stir until chilled, and strain into a chilled coupe glass.",,,,,,,,,,,,,,,,,,,,,
Moranguito,Absinthe,N/A,Shot Glass,N/A,Absinthe,2/5 ,Tequila,2/5 ,Grenadine,1/5 ,,,,,,,,,,,,,,,,,,,,,"1: first you put rhe absinthe, then put tequila, then put the Granadine syrup.",,,,,,,,,,,,,,,,,,,,,,
Miami Vice,Rum,N/A,Cocktail Glass,N/A,151 proof rum,5 oz Bacardi ,Pina colada mix,frozen ,Daiquiri mix,frozen ,,,,,,,,,,,,,,,,,,,,,1: First: Mix pina colada with 2.,2: 5 oz.,3: of rum with ice(set aside).,4: Second: Mix daiquiri with 2.,5: 5 oz.,6: of rum with ice.,"7: Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together).",,,,,,,,,,,,,,,,
